Q,A
什麼是汽車貸款?,汽車貸款是一種消費性金融商品，屬有擔保的借款。
請問一下汽車貸款有哪幾種項目可供申請?,常見的汽車貸款項目分為三大類：原車融資、原車轉增貸（或「分期車貸款」）、購車貸款（新車、中古車皆可）。
汽車貸款的申請流程有哪些？,"申請流程:
‧申請：填寫申請書、提供需要的資料
‧審核：依所申請貸款車種、金額、期限、擔保進行審核
‧簽約對保：銀行核准房貸申請後，房貸業務人員會主動與您約定簽約對保時間（如有保證人，保證人亦須出席），完成簽訂借款契約書及相關手續。
‧撥款：銀行將款項撥入您的指定帳戶。貸款開始生效，借款人需每月於繳款日前將應繳金額存入帳戶中，銀行會自動將貸款本息從借款人帳戶中扣繳。"
什麼是「原車貸款」? ,以名下的汽車作為資金週轉的貸款擔保。只要您名下已有汽車，而且沒有貸款就可以提出申請。（如名下汽車已有貸款，則需申請「原車轉增貸」，或稱為「分期車貸款」）
汽車貸款的申請資格、利率、核貸金額、年限、手續費用為何?,"‧貸款資格：只要年滿20歲之本國國民，汽車有增貸價值即可申請，除信用重大瑕疵以外。
‧貸款利率：依所申請貸款車種、金額、期限、擔保進行評比，一般來說，中古汽車貸款利率約8%-18%，新車貸款利率約3.5%-8%。
‧核貸金額：新車以購買價格的八成五至九成之間，中古車則以銀行的鑑價的七成五至八成左右。
‧貸款年限：常見的汽車貸款年限為1-5年。
‧貸款手續：不論貸款金額高低，銀行動保設定費一律3500元。"
請問申請汽車貸款有限定車輛種類嗎？,一般來說，只要是轎車、休旅車、營業車、商用車、計程車、3.5噸以下貨車皆可申請。
車齡有沒有限制？,依銀行規定，有些銀行規定「貸款期數」與「車齡」合計沒有超過10年，有些則規定車齡十年內的車（雙B車超過十年可．不受此限）
除了汽車外，是否需要提供保證人或擔保品？,基本上是不需要提供保證人或其他擔保品，但銀行會視您的個人條件決定。
請問申請原車貸款，車子需要留在你們銀行嗎？,當舖才會有留車的狀況，一般的車貸核准後汽車不需交由銀行保管，但銀行會向監理單位申請設定您的汽車，在貸款未結清之前，不能買賣過戶。
信用不良可以申貸車貸嗎﹖,"只要銀行查詢信用記錄上有瑕疵者，如信用卡、現金卡、房貸、跳票等問題尚未解決者，銀行通常是不予承做。信用不良的認定有很多種，如強制停卡、債務協商、個人貸款掛催收遲繳超過2個月、拒絕往來(票)、半年內退補(票)，以上的信用瑕疵通常不能申辦汽車貸款。 

但如信用不良為以下情形，則可以與銀行協調：信用卡遲繳未超過一個月、退補滿半年、個人貸款遲繳、強制停卡有清償滿半年、信貸房貸呆帳有清償超過3年以上、 曾與人做保呆帳著但已清償、負債比偏高（卡及貸款）"
我想辦理汽車貸款，請問要準備那些文件？,"身分證影印本。
第二證件影印本。
行車執照影印本。
相關文件以實際需求為主。"
請問公司車也能貸款嗎?要準備哪些文件?,"一般公司行號也可以辦貸款，但不可有信用異常問題(如:跳票)，另外銀行也會考量該公司是否為空頭公司。您需準備下列文件：
  1.營利事業登記證影本。
  2.負責人身份證影本。
  3.第二證件影本。
  4.行車執照影本。"
請問汽車貸款提前結清會有違約金嗎？,有些汽車貸款綁約12個月，只要繳款滿12期後提前結清，免違約金。
請問如果繳款遲繳有影響嗎？,為了您的個人信用，請您務必準時繳款，如果您未按時繳款，依據合約規定，會依當期未繳金額加計遲延利息，超過繳款日7日就會註記。
請問在繳款期間車牌或車子遺失怎麼辦？,如果車牌遺失，請向當地警察機關報案，取得報案證明後並通知銀行，銀行會立刻寄給您相關文件，供您向監理機關辦理換(補)發牌照手續，並請您在辦妥手續後，將新領牌照登記書一併寄回。萬一車輛被竊，除向警察機關報案外，並向保險公司報備，在保險公司未完成理賠前，您仍需繼續付款。您可以選擇提前結清車款，讓保險金直接理賠給您，或者向保險公司請求將保險金理賠給我們以代清償您的車款，但須保險公司出具同意理賠給我們的書面證明才可辦理。若有不足差額，您仍應補足差額。為了確保權益，請您在分期或貸款期間務必投保車輛竊盜險。
