Q,A
何謂「信貸」?,"「信貸」簡稱「信用貸款」，只依個人收入、信用、負債狀況為依據來作風險考量，借款人不需要提供任何擔保品就可以申請，而且信貸額度最高可達300萬。
然而，由於不需提供擔保品，申請信貸族群較複雜，呆帳風險比率較高，因此銀行對申請信貸客戶在審核上也越來越嚴格，核貸成功率不高，除非是公務人員或上市上櫃公司或年資較久客戶族群，不然一般族群核貸率相對較低的，建議在申請之前先多詢問幾家銀行。
"
辦理信貸需要準備那些文件？,"需要準備的基本文件及資料如下：
‧身分證
‧工作證明（勞保卡或在職證明或識別證）
‧所得證明（薪轉或扣繳憑單、經常往來存摺）"
如果我名下還有其他貸款，會不會影響房貸條件？,如果您名下的貸款是房貸，由於大部分人買房子都會使用房貸，且房貸有房子做抵押，所以比較不會影響信貸申請的額度。如果您名下的貸款是其他信貸，則需視您的貸款金額是否已經超過負債比上限了，若是尚未超過上限，還是有機會申請新的信貸，但建議在申請前先詢問各家銀行的規定。
銀行如何知道我的信用情況？,為了調查每個人的信用資訊，各個金融行庫和財團法人金融聯合徵信中心串連（簡稱「聯徵」），每個人的貸款金額、每一張信用卡的未付款金額、是否有當保證人、最近3年是否有逾期繳款紀錄、最近12個月有無預借現金、有無被任何銀行拒絕往來…等資訊都可以在金融聯合徵信中心查詢到，因此銀行調閱聯徵時可以得知您的信用情況。
有人說貸款最好不要問太多家，會影響個人的信用條件，是真的嗎？,這是因為聯徵報告會顯示最近3個月的「被查詢紀錄」，如果最近3個月被密集的調閱聯徵記錄，表示您有貸款的需求，但是可能收入信用條件不佳，其它家銀行提供的貸款條件都不好，所以才會密集的詢其它家銀行，所以在聯徵記錄中「被查詢紀錄」最好越少越好。不過，基於個人資料隱私，金融行庫如要調閱您的聯徵資訊，需要取得您的同意，也就是必須要您填了貸款申請書，並簽署「金融聯合徵信中心查詢同意書」後才能調閱。您還是可以先初步比較各家銀行給的估價和貸款條件，等確定要申請貸款時，再授權其中條件比較好的1~2家調聯徵即可。所以初期先多問幾家銀行是不會影響記錄的喔！
信用貸款的申請流程有哪些？,"一般來說，信貸的申請流程大致包括：
‧確認資格：年齡在20歲至65歲的國民，有正當職業，收入穩定，信用良好。
‧申請：填寫貸款申請書並備齊相關文件資料。
‧審核：銀行會根據客戶基本條件、信用狀況、還款來源、負債比等因素，作為案件准駁與貸放條件的依據。
‧照會：銀行照會人員會約時間打電話與貸款人和保證人照會，確認有此貸款申請。
‧簽約對保：銀行核准房貸申請後，房貸業務人員會主動與您約定簽約對保時間（如有保證人，保證人亦須出席），完成簽訂借款契約書及相關手續。
‧撥款：銀行進行撥款。撥款後貸款開始生效，借款人需每月於繳款日前將應繳金額存入帳戶中，銀行會自動將貸款本息從借款人帳戶中扣繳。"
對保需要攜帶哪些資料？,借款人和保證人的身分證正本、私章、借款人的駕照或健保卡。
為何信用貸款會辦不下來?,"如您的信用貸款會辦不下來，可能因為您的貸款評分不足。貸款評分不足可分為兩類：
‧財團法人金融聯合徵信中心 (聯徵)內部的信用評分低於銀行要求的最低分數。
‧您在銀行內部審核後的評分不夠，銀行不願意通過您的貸款，可能因資料不完整或是償還能力不夠。"
信用貸款還款期限有多久？,可分1-7年，您亦可依照自己的還款能力、資金用途來規劃還款期數。
被銀行停卡，就無法申請貸款了嗎?,"強制停卡是一種信用上重大的瑕疵．信用卡或現金卡遲繳1-3個月（每家銀行規定的期限不同）如果沒有按月繳交最低應繳金額，銀行會按月催收並加罰滯納金，若經銀行催收三個月後，發卡銀行便會「強制停卡」。

原則上銀行停卡的時效為3-5年(以清償完畢之後的時間計算)，但若您有跟銀行協議清償，且已清償逾半年後即可申請貸款，若目前仍未清償，則就算您提供保人仍可能無法申請貸款。建議情商家人改以他門的名義來幫您申請銀行貸款。"
信用不良的紀錄要如何才能消除呢?,基本上如您與銀行達成協議且已清償您的帳款半年後，銀行會發文請聯合徵信中心將您的不良的紀錄消除。一般而言信用卡強制停卡繳清後，聯合徵信中仍會揭露半年，建議您一定要跟原債權銀行達成協議，並領取清償證明來爭取自己的權益。
配偶的信用有瑕疵會不會影響我申請貸款?,會，不過也有銀行不會照會配偶的信用狀況，可尋求 EZBANK 合作的代辦業者（放超連結）針對您的情況尋找最合適的銀行和貸款方案。
何謂個人信貸「小白」?,所謂「小白」就是沒有任何與銀行信用往來記錄（常見的情況為沒有使用信用卡），銀行在無從斷定的資料下，只能從工作來判斷客戶信用條件，因為銀行並不認識您更不知放款後您繳款是否會正常，核貸成功率並不高。如果有使用信用卡，銀行會從徵信中心了解您之前繳款記錄來做為依據，核貸機率較高。
辦理多家現金卡是否對個人信用有影響?,辦理多家現金卡不會對個人信用有影響，但是會影響您貸款的額度，因為辦現金卡就等於是辦貸款，銀行給予持卡人的信用額度，就等同向銀行貸款的額度，不管你有沒有使用，都會影響你申請信貸的金額，因此建議不要申請太多張現金卡。
信貸的貸款利率通常多少?,常見的利息約為4%-12%，依貸款人的信用記錄、服務的公司、薪資、年資、公司是否有為您投保勞健保、負債狀況、銀行業務往來程度、借款時間長短等而異。
何謂個人信用額度上限?,2005年台灣發生卡債風暴後，金管會與銀行公會通過信用額度上限22倍的規定，無論是申辦信用卡、現金卡、信用貸款，只要是無擔保的信用貸款，消費者的借款總餘額不得超過月收入的22倍，避免消費者負債偏高無法支付而設的總借款上限。
何謂負債22倍? ,2005年台灣發生卡債風暴後，金管會與銀行公會通過信用額度上限22倍的規定，無論是申辦信用卡、現金卡、信用貸款，只要是無擔保的信用貸款，消費者的借款總餘額不得超過月收入的22倍，避免消費者負債偏高無法支付而設的總借款上限。
負債高於22倍可以辦嗎? ,若您的負債已達收入的22倍，表示負債已經過高，建議您一定要找專業的銀行貸款專員幫您先評估並提供建議，不要自己亂送件，以免影響個人債信紀錄。
公司負責人可以辦信貸嗎? ,由於公司負責人的風險較大，通常銀行信用貸款比較不願意放款給負責人，即使與申貸銀行有往來紀錄，核貸額度也不會很高。建議可尋求 EZBANK合作的代辦業者（放超連結）針對您的情況尋找最合適的銀行和貸款方案。
申辦信貸時需要支付那些費用?,依各家銀行商品不同，而有不一樣的收費項目，一般而言常見的有「開辦費」、「帳務管理費」、「提前清償違約金」等，申辦前建議先詢問清楚。 
信貸需要綁約？如提早還完需罰「違約金」？,有些信貸方案有綁約規定，常見的有綁約1年-2年。通常有綁約的信貸，如於銀行約定還款期限之前，提前還清貸款，則需要支付違約金。
