Q,A
辦理房貸需要準備那些文件？,"需要準備的基本文件及資料如下：
‧貸款人文件：貸款申請單、身分證影本（如為外國人則需護照、居留證及工作證）
‧收入資料：最近6個月的薪轉存摺封面和內頁（須先補登存摺）或是去年的扣繳憑單。
‧財力證明：最近1年常往來的銀行存摺封面和內頁（須先補登存摺）、定存證明、股票和基金明細（可以用網路銀行列印股票和基金的持股明細給銀行參考）、保險合約影本等。
‧買賣合約影本（如為買賣案件）
‧謄本影本或不動產權狀影本（包含建物和土地）

如果有提供保證人，則除了上述文件外，還須要提供保證人的收入資料、財力證明給銀行。"
如果我名下還有其他貸款，會不會影響房貸條件？,一般來說，信用貸款會影響房貸申請的額度，畢竟，如果您本來已經有使用信貸，要說服銀行您的財力實力很好，的確有點困難。但是房貸較為常見，大部分人買房子都會使用房貸，且有房子做抵押，所以房貸比較不會影響信貸申請的額度。如果您名下有未還完的信貸且有買房子的計畫，可以先跟家人情商先借一筆金額還完信貸餘額，並跟信貸銀行領取「清償證明」，等房貸下來後再辦信貸還給家人。
我買的房子為什麼沒有銀行願意承作貸款？,每家銀行都有承作房貸的條件，例如：有些銀行針對較偏遠的地區不承作貸款，或針對貸款金額或不動產估價太低、坪數太小、登記為工業用及商業用途者的物件不承作。如您買的房子沒有銀行願意承作貸款，可以優先考慮 EZBANK 合作的代辦業者（放超連結），針對您的情況尋找最合適的銀行和貸款方案。
銀行如何知道我的信用情況？,為了調查每個人的信用資訊，各個金融行庫和財團法人金融聯合徵信中心串連（簡稱「聯徵」），每個人的貸款金額、每一張信用卡的未付款金額、是否有當保證人、最近3年是否有逾期繳款紀錄、最近12個月有無預借現金、有無被任何銀行拒絕往來…等資訊都可以在金融聯合徵信中心查詢到，因此銀行調閱聯徵時可以得知您的信用情況。
有人說貸款最好不要問太多家，會影響個人的信用條件，是真的嗎？,這是因為聯徵報告會顯示最近3個月的「被查詢紀錄」，如果最近3個月被密集的調閱聯徵記錄，表示您有貸款的需求，但是可能收入信用條件不佳，其它家銀行提供的貸款條件都不好，所以才會密集的詢其它家銀行，所以在聯徵記錄中「被查詢紀錄」最好越少越好。不過，基於個人資料隱私，金融行庫如要調閱您的聯徵資訊，需要取得您的同意，也就是必須要您填了貸款申請書，並簽署「金融聯合徵信中心查詢同意書」後才能調閱。您還是可以先初步比較各家銀行給的估價和貸款條件，等確定要申請貸款時，再授權其中條件比較好的1~2家調聯徵即可。所以初期先多問幾家銀行是不會影響記錄的喔！
房屋貸款的申請流程有哪些？,"一般來說，房屋貸款的申請流程大致包括：
‧詢問與初步估價：先與銀行專員連繫，提供相關資訊由專員為您進行初步估價，並評估貸款條件。
‧申請：如滿意專員提供的貸款條件，即可填寫貸款申請書並備齊相關文件資料。
‧鑑價：銀行會依據房屋坪數、座落區域及周邊生活機能等因素進行不動產估價。一般來說也參考房屋買賣的成交價格來決定可以申貸的金額。
‧審核：銀行會根據客戶基本條件、信用狀況、還款來源、負債比、不動產估價等因素，作為案件准駁與貸放條件的依據。
‧照會：銀行照會人員會約時間打電話與貸款人和保證人照會，確認有此貸款申請。照會的目的是為了確認是貸款人和保證人本人，而非人頭記名登記。所以照會時會詢問物件地址、樓層、坪數、買賣金額、貸款金額、頭期款金額和支付時間等。
‧簽約對保：銀行核准房貸申請後，房貸業務人員會主動與您約定簽約對保時間（如有保證人，保證人亦須出席），完成簽訂借款契約書及相關手續。
‧設定：對保完成至撥款前會由代書協助進行抵押權設定程序。
‧撥款：銀行進行撥款。撥款後貸款開始生效，借款人需每月於繳款日前將應繳金額存入帳戶中，銀行會自動將貸款本息從借款人帳戶中扣繳。"
對保需要攜帶哪些資料？,借款人和保證人的身分證正本、私章、借款人的駕照或健保卡。
如果我收入不夠怎麼辦？如何增加貸款條件？,由於房貸會考量不動產與貸款人的條件，如您的收入不理想，可以考慮提供保證人，或優先考慮 EZBANK 合作的代辦業者（放超連結），針對您的情況尋找最合適的銀行和貸款方案。
何謂「一段式」利率？,貸款期間的利率均用相同計算方式計息，通常搭配「指數型房貸」使用，只要央行沒有調息，貸款利息即固定不變。相較於二、三段式利率，前兩年的利率可能比較高，但長期來看利息較優惠。
何謂「二段式」或「三段式」利率？,將還款期間分做二或三段，採取不同的利率計息。如果是二段式，第一段通常為前2年，第二段為為第3年起。如果是三段式，第一段通常為前6個月，第二段為第7~24個月，第三段則為第3年起。通常二、三段式的利率結構，前2年利率通常低於一段式利率，但第3年起通常會支付較高的本息負擔。
