Q,A
何謂「債務整合」?,債務整合是一種債權的轉移，意思就是原本的債務由A銀行代為清償，原有負債轉移到A銀行的行為，稱之為「債務整合」。通常透過較低利率貸款來整合高利率貸款，降低負擔。
債務整合會影響信用嗎?,負載整合只是債權的移轉，信用不會有影響。
債務整合的優點?,"1.降低循環利息支出
2.繳款方便，不需要面對多家銀行
3.降低月付金，並讓信用分數加分"
能否辦理負債整合成功的幾項關鍵因素?,銀行會注重你的薪資是否月光、繳款是否正常、信用卡片是否有預借現金習慣等，這些小細節都會影響到核准與否。此外，如果你本身無擔保債務已經超過22倍負債比的規定，要整合的機會也較低（需依照薪資的認定情況而定），或者已經有嚴重遲繳或是未繳轉呆帳者，銀行基於信用的問題也無法進行債務整合的貸款，如有這樣的狀況，則建議直接進行債務協商。
債務整合需要綁約嗎?,銀行協助清償你的債務目的就是要賺取利息，所以通常會綁約。
可以利用房屋貸款來債務整合嗎?,可以，而且利率較低，還款年限較長，負擔較輕。
債務協商跟債務整合一樣嗎?,兩者是不一樣的，協商是已無還款能力，向最大債權銀行申請協商; 債務整合是將債權轉給其他家銀行。
何謂「債務協商」?,將信用卡、現金卡、信用貸款等等所有的無擔保債務加在一起，向最大債權銀行提出申請，由最大債權銀行評估您的收入扣掉必要性支出後的金額作為您的還款考量，原先的利率不論高低通通整合為單一利率，最低也有可能到0%。
債務協商的壞處?,信用會凍結，個人聯徵紀錄將會註記該客戶為債務協商者，不可能再向其他家銀行借錢（如：信用卡），直到還款結束後一年，該註記才會拿掉。
債務協商的好處?,"1. 債務整合成一家
2. 降低月繳款金額（攤還年限最長可以15年）
3. 降低循環利率
4. 停止被銀行催收
5. 避免被扣薪1/3和房子被法拍
6. 以你可以接受的金額無壓力的繳款到負債還清（可以提前清償）"
